gene_id,symbol,name,cytoband,type,num_cohort_ssm_affected_cases,num_cohort_ssm_cases,cohort_ssm_affected_cases_percentage,num_gdc_ssm_affected_cases,num_gdc_ssm_cases,gdc_ssm_affected_cases_percentage,num_cohort_cnv_cases,num_cohort_cnv_gain_cases,cohort_cnv_gain_cases_percentage,num_cohort_cnv_loss_cases,cohort_cnv_loss_cases_percentage,num_mutations,annotations
ENSG00000029534,ANK1,ankyrin 1,8p11.21,protein_coding,9,555,1.62,709,16508,4.29,494,42,8.5,150,30.36,12,Cancer Gene Census
ENSG00000081237,PTPRC,protein tyrosine phosphatase receptor type C,"1q31.3, 1q32.1",protein_coding,9,555,1.62,491,16508,2.97,494,20,4.05,5,1.01,9,Cancer Gene Census
ENSG00000157168,NRG1,neuregulin 1,8p12,protein_coding,9,555,1.62,449,16508,2.72,494,21,4.25,206,41.7,9,Cancer Gene Census
ENSG00000173821,RNF213,ring finger protein 213,17q25.3,protein_coding,9,555,1.62,759,16508,4.6,494,13,2.63,22,4.45,16,Cancer Gene Census
ENSG00000100393,EP300,E1A binding protein p300,22q13.2,protein_coding,8,555,1.44,567,16508,3.43,494,0,0.0,36,7.29,9,Cancer Gene Census
ENSG00000141027,NCOR1,nuclear receptor corepressor 1,"17p12, 17p11.2",protein_coding,8,555,1.44,538,16508,3.26,494,5,1.01,68,13.77,8,Cancer Gene Census
ENSG00000147724,FAM135B,family with sequence similarity 135 member B,8q24.23,protein_coding,8,555,1.44,953,16508,5.77,494,104,21.05,13,2.63,8,Cancer Gene Census
ENSG00000157764,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",7q34,protein_coding,8,555,1.44,964,16508,5.84,494,52,10.53,7,1.42,6,Cancer Gene Census
ENSG00000184012,TMPRSS2,transmembrane serine protease 2,21q22.3,protein_coding,8,555,1.44,122,16508,0.74,494,13,2.63,71,14.37,8,Cancer Gene Census
ENSG00000051341,POLQ,DNA polymerase theta,3q13.33,protein_coding,7,555,1.26,530,16508,3.21,494,32,6.48,11,2.23,8,Cancer Gene Census
ENSG00000085276,MECOM,MDS1 and EVI1 complex locus,3q26.2,protein_coding,7,555,1.26,444,16508,2.69,494,51,10.32,4,0.81,7,Cancer Gene Census
ENSG00000088038,CNOT3,CCR4-NOT transcription complex subunit 3,19q13.42,protein_coding,7,555,1.26,220,16508,1.33,494,14,2.83,8,1.62,6,Cancer Gene Census
ENSG00000111276,CDKN1B,cyclin dependent kinase inhibitor 1B,12p13.1,protein_coding,7,555,1.26,125,16508,0.76,494,8,1.62,119,24.09,7,Cancer Gene Census
ENSG00000111642,CHD4,chromodomain helicase DNA binding protein 4,12p13.31,protein_coding,7,555,1.26,556,16508,3.37,494,11,2.23,67,13.56,7,Cancer Gene Census
ENSG00000148584,A1CF,APOBEC1 complementation factor,10q11.23,protein_coding,7,555,1.26,262,16508,1.59,494,7,1.42,30,6.07,9,Cancer Gene Census
ENSG00000162434,JAK1,Janus kinase 1,1p31.3,protein_coding,7,555,1.26,373,16508,2.26,494,1,0.2,45,9.11,8,Cancer Gene Census
ENSG00000181555,SETD2,"SET domain containing 2, histone lysine methyltransferase",3p21.31,protein_coding,7,555,1.26,636,16508,3.85,494,13,2.63,23,4.66,7,Cancer Gene Census
ENSG00000185008,ROBO2,roundabout guidance receptor 2,3p12.3,protein_coding,7,555,1.26,670,16508,4.06,494,17,3.44,31,6.28,11,Cancer Gene Census
ENSG00000187323,DCC,DCC netrin 1 receptor,18q21.2,protein_coding,7,555,1.26,750,16508,4.54,494,3,0.61,94,19.03,7,Cancer Gene Census
ENSG00000198795,ZNF521,zinc finger protein 521,18q11.2,protein_coding,7,555,1.26,537,16508,3.25,494,3,0.61,69,13.97,7,Cancer Gene Census
ENSG00000044524,EPHA3,EPH receptor A3,3p11.1,protein_coding,6,555,1.08,526,16508,3.19,494,21,4.25,15,3.04,6,Cancer Gene Census
ENSG00000047410,TPR,"translocated promoter region, nuclear basket protein",1q31.1,protein_coding,6,555,1.08,464,16508,2.81,494,18,3.64,10,2.02,8,Cancer Gene Census
ENSG00000083857,FAT1,FAT atypical cadherin 1,4q35.2,protein_coding,6,555,1.08,1069,16508,6.48,494,9,1.82,24,4.86,7,Cancer Gene Census
ENSG00000105976,MET,"MET proto-oncogene, receptor tyrosine kinase",7q31.2,protein_coding,6,555,1.08,350,16508,2.12,494,47,9.51,12,2.43,6,Cancer Gene Census
ENSG00000108375,RNF43,ring finger protein 43,17q22,protein_coding,6,555,1.08,404,16508,2.45,494,10,2.02,27,5.47,6,Cancer Gene Census
ENSG00000115524,SF3B1,splicing factor 3b subunit 1,2q33.1,protein_coding,6,555,1.08,366,16508,2.22,494,7,1.42,10,2.02,6,Cancer Gene Census
ENSG00000117713,ARID1A,AT-rich interaction domain 1A,1p36.11,protein_coding,6,555,1.08,1154,16508,6.99,494,2,0.4,30,6.07,6,Cancer Gene Census
ENSG00000134352,IL6ST,interleukin 6 signal transducer,5q11.2,protein_coding,6,555,1.08,186,16508,1.13,494,7,1.42,95,19.23,7,Cancer Gene Census
ENSG00000137265,IRF4,interferon regulatory factor 4,6p25.3,protein_coding,6,555,1.08,208,16508,1.26,494,9,1.82,23,4.66,6,Cancer Gene Census
ENSG00000145113,MUC4,"mucin 4, cell surface associated",3q29,protein_coding,6,555,1.08,637,16508,3.86,494,30,6.07,27,5.47,7,Cancer Gene Census
ENSG00000153707,PTPRD,protein tyrosine phosphatase receptor type D,"9p24.1, 9p23",protein_coding,6,555,1.08,767,16508,4.65,494,14,2.83,29,5.87,8,Cancer Gene Census
ENSG00000157388,CACNA1D,calcium voltage-gated channel subunit alpha1 D,3p21.1,protein_coding,6,555,1.08,512,16508,3.1,494,15,3.04,19,3.85,6,Cancer Gene Census
ENSG00000168610,STAT3,signal transducer and activator of transcription 3,17q21.2,protein_coding,6,555,1.08,215,16508,1.3,494,1,0.2,50,10.12,6,Cancer Gene Census
ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1,"1p36.31, 1p36.23",protein_coding,6,555,1.08,482,16508,2.92,494,3,0.61,39,7.89,6,Cancer Gene Census
ENSG00000184634,MED12,mediator complex subunit 12,Xq13.1,protein_coding,6,555,1.08,561,16508,3.4,494,0,0.0,0,0.0,4,Cancer Gene Census
ENSG00000196498,NCOR2,nuclear receptor corepressor 2,12q24.31,protein_coding,6,555,1.08,514,16508,3.11,494,16,3.24,34,6.88,8,Cancer Gene Census
ENSG00000198173,FAM47C,family with sequence similarity 47 member C,Xp21.1,protein_coding,6,555,1.08,635,16508,3.85,494,0,0.0,0,0.0,8,Cancer Gene Census
ENSG00000005339,CREBBP,CREB binding protein,16p13.3,protein_coding,5,555,0.9,777,16508,4.71,494,19,3.85,13,2.63,7,Cancer Gene Census
ENSG00000029725,RABEP1,"rabaptin, RAB GTPase binding effector protein 1",17p13.2,protein_coding,5,555,0.9,149,16508,0.9,494,4,0.81,102,20.65,5,Cancer Gene Census
ENSG00000037280,FLT4,fms related receptor tyrosine kinase 4,5q35.3,protein_coding,5,555,0.9,477,16508,2.89,494,16,3.24,14,2.83,6,Cancer Gene Census
ENSG00000046889,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",8q13.2,protein_coding,5,555,0.9,699,16508,4.23,494,108,21.86,8,1.62,5,Cancer Gene Census
ENSG00000049618,ARID1B,AT-rich interaction domain 1B,6q25.3,protein_coding,5,555,0.9,479,16508,2.9,494,2,0.4,31,6.28,7,Cancer Gene Census
ENSG00000065361,ERBB3,erb-b2 receptor tyrosine kinase 3,12q13.2,protein_coding,5,555,0.9,381,16508,2.31,494,19,3.85,11,2.23,6,Cancer Gene Census
ENSG00000065559,MAP2K4,mitogen-activated protein kinase kinase 4,17p12,protein_coding,5,555,0.9,214,16508,1.3,494,2,0.4,96,19.43,5,Cancer Gene Census
ENSG00000079102,RUNX1T1,RUNX1 partner transcriptional co-repressor 1,8q21.3,protein_coding,5,555,0.9,513,16508,3.11,494,119,24.09,6,1.21,7,Cancer Gene Census
ENSG00000085224,ATRX,ATRX chromatin remodeler,Xq21.1,protein_coding,5,555,0.9,817,16508,4.95,494,0,0.0,0,0.0,5,Cancer Gene Census
ENSG00000100345,MYH9,myosin heavy chain 9,22q12.3,protein_coding,5,555,0.9,484,16508,2.93,494,4,0.81,33,6.68,8,Cancer Gene Census
ENSG00000100852,ARHGAP5,Rho GTPase activating protein 5,14q12,protein_coding,5,555,0.9,360,16508,2.18,494,8,1.62,16,3.24,5,Cancer Gene Census
ENSG00000103197,TSC2,TSC complex subunit 2,16p13.3,protein_coding,5,555,0.9,389,16508,2.36,494,24,4.86,13,2.63,6,Cancer Gene Census
ENSG00000104728,ARHGEF10,Rho guanine nucleotide exchange factor 10,8p23.3,protein_coding,5,555,0.9,318,16508,1.93,494,17,3.44,196,39.68,5,Cancer Gene Census
ENSG00000109685,NSD2,nuclear receptor binding SET domain protein 2,4p16.3,protein_coding,5,555,0.9,389,16508,2.36,494,13,2.63,34,6.88,8,Cancer Gene Census
ENSG00000110841,PPFIBP1,PPFIA binding protein 1,"12p11.23, 12p11.22",protein_coding,5,555,0.9,194,16508,1.18,494,12,2.43,51,10.32,6,Cancer Gene Census
ENSG00000112175,BMP5,bone morphogenetic protein 5,6p12.1,protein_coding,5,555,0.9,262,16508,1.59,494,6,1.21,15,3.04,5,Cancer Gene Census
ENSG00000114861,FOXP1,forkhead box P1,3p13,protein_coding,5,555,0.9,282,16508,1.71,494,16,3.24,66,13.36,6,Cancer Gene Census
ENSG00000115760,BIRC6,baculoviral IAP repeat containing 6,2p22.3,protein_coding,5,555,0.9,760,16508,4.6,494,12,2.43,23,4.66,5,Cancer Gene Census
ENSG00000128052,KDR,kinase insert domain receptor,4q12,protein_coding,5,555,0.9,503,16508,3.05,494,8,1.62,20,4.05,8,Cancer Gene Census
ENSG00000130396,AFDN,"afadin, adherens junction formation factor",6q27,protein_coding,5,555,0.9,419,16508,2.54,494,1,0.2,46,9.31,6,Cancer Gene Census
ENSG00000133392,MYH11,myosin heavy chain 11,16p13.11,protein_coding,5,555,0.9,570,16508,3.45,494,21,4.25,10,2.02,5,Cancer Gene Census
ENSG00000138336,TET1,tet methylcytosine dioxygenase 1,10q21.3,protein_coding,5,555,0.9,452,16508,2.74,494,16,3.24,38,7.69,5,Cancer Gene Census
ENSG00000138413,IDH1,isocitrate dehydrogenase (NADP(+)) 1,2q34,protein_coding,5,555,0.9,600,16508,3.63,494,7,1.42,15,3.04,4,Cancer Gene Census
ENSG00000141646,SMAD4,SMAD family member 4,18q21.2,protein_coding,5,555,0.9,386,16508,2.34,494,3,0.61,92,18.62,6,Cancer Gene Census
ENSG00000141736,ERBB2,erb-b2 receptor tyrosine kinase 2,17q12,protein_coding,5,555,0.9,355,16508,2.15,494,5,1.01,28,5.67,6,Cancer Gene Census
ENSG00000142611,PRDM16,PR/SET domain 16,1p36.32,protein_coding,5,555,0.9,380,16508,2.3,494,7,1.42,36,7.29,5,Cancer Gene Census
ENSG00000143970,ASXL2,ASXL transcriptional regulator 2,2p23.3,protein_coding,5,555,0.9,343,16508,2.08,494,12,2.43,18,3.64,5,Cancer Gene Census
ENSG00000144218,AFF3,AF4/FMR2 family member 3,2q11.2,protein_coding,5,555,0.9,443,16508,2.68,494,5,1.01,12,2.43,7,Cancer Gene Census
ENSG00000146648,EGFR,epidermal growth factor receptor,7p11.2,protein_coding,5,555,0.9,660,16508,4.0,494,57,11.54,7,1.42,5,Cancer Gene Census
ENSG00000148400,NOTCH1,notch receptor 1,9q34.3,protein_coding,5,555,0.9,812,16508,4.92,494,35,7.09,13,2.63,8,Cancer Gene Census
ENSG00000156650,KAT6B,lysine acetyltransferase 6B,10q22.2,protein_coding,5,555,0.9,349,16508,2.11,494,9,1.82,54,10.93,5,Cancer Gene Census
ENSG00000165671,NSD1,nuclear receptor binding SET domain protein 1,5q35.3,protein_coding,5,555,0.9,562,16508,3.4,494,15,3.04,13,2.63,7,Cancer Gene Census
ENSG00000177084,POLE,"DNA polymerase epsilon, catalytic subunit",12q24.33,protein_coding,5,555,0.9,492,16508,2.98,494,10,2.02,23,4.66,9,Cancer Gene Census
ENSG00000178568,ERBB4,erb-b2 receptor tyrosine kinase 4,2q34,protein_coding,5,555,0.9,673,16508,4.08,494,5,1.01,14,2.83,5,Cancer Gene Census
ENSG00000182578,CSF1R,colony stimulating factor 1 receptor,5q32,protein_coding,5,555,0.9,247,16508,1.5,494,12,2.43,15,3.04,6,Cancer Gene Census
ENSG00000184507,NUTM1,NUT midline carcinoma family member 1,15q14,protein_coding,5,555,0.9,311,16508,1.88,494,8,1.62,38,7.69,5,Cancer Gene Census
ENSG00000196367,TRRAP,transformation/transcription domain associated protein,7q22.1,protein_coding,5,555,0.9,754,16508,4.57,494,63,12.75,6,1.21,7,Cancer Gene Census
ENSG00000197323,TRIM33,tripartite motif containing 33,1p13.2,protein_coding,5,555,0.9,213,16508,1.29,494,3,0.61,28,5.67,7,Cancer Gene Census
ENSG00000198793,MTOR,mechanistic target of rapamycin kinase,1p36.22,protein_coding,5,555,0.9,517,16508,3.13,494,1,0.2,42,8.5,7,Cancer Gene Census
ENSG00000036257,CUL3,cullin 3,2q36.2,protein_coding,4,555,0.72,250,16508,1.51,494,3,0.61,19,3.85,3,Cancer Gene Census
ENSG00000041982,TNC,tenascin C,9q33.1,protein_coding,4,555,0.72,528,16508,3.2,494,38,7.69,9,1.82,4,Cancer Gene Census
ENSG00000049540,ELN,elastin,7q11.23,protein_coding,4,555,0.72,238,16508,1.44,494,60,12.15,3,0.61,4,Cancer Gene Census
ENSG00000051382,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",3q22.3,protein_coding,4,555,0.72,241,16508,1.46,494,47,9.51,9,1.82,4,Cancer Gene Census
ENSG00000066032,CTNNA2,catenin alpha 2,2p12,protein_coding,4,555,0.72,670,16508,4.06,494,9,1.82,20,4.05,4,Cancer Gene Census
ENSG00000067842,ATP2B3,ATPase plasma membrane Ca2+ transporting 3,Xq28,protein_coding,4,555,0.72,429,16508,2.6,494,0,0.0,0,0.0,8,Cancer Gene Census
ENSG00000070371,CLTCL1,clathrin heavy chain like 1,22q11.21,protein_coding,4,555,0.72,315,16508,1.91,494,0,0.0,41,8.3,6,Cancer Gene Census
ENSG00000073282,TP63,tumor protein p63,3q28,protein_coding,4,555,0.72,402,16508,2.44,494,35,7.09,21,4.25,4,Cancer Gene Census
ENSG00000079112,CDH17,cadherin 17,8q22.1,protein_coding,4,555,0.72,264,16508,1.6,494,121,24.49,6,1.21,4,Cancer Gene Census
ENSG00000079999,KEAP1,kelch like ECH associated protein 1,19p13.2,protein_coding,4,555,0.72,376,16508,2.28,494,6,1.21,18,3.64,4,Cancer Gene Census
ENSG00000082805,ERC1,ELKS/RAB6-interacting/CAST family member 1,12p13.33,protein_coding,4,555,0.72,229,16508,1.39,494,11,2.23,60,12.15,4,Cancer Gene Census
ENSG00000085185,BCORL1,BCL6 corepressor like 1,Xq26.1,protein_coding,4,555,0.72,517,16508,3.13,494,0,0.0,0,0.0,5,Cancer Gene Census
ENSG00000085832,EPS15,epidermal growth factor receptor pathway substrate 15,1p32.3,protein_coding,4,555,0.72,184,16508,1.11,494,2,0.4,40,8.1,4,Cancer Gene Census
ENSG00000097007,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",9q34.12,protein_coding,4,555,0.72,262,16508,1.59,494,37,7.49,12,2.43,5,Cancer Gene Census
ENSG00000104884,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",19q13.32,protein_coding,4,555,0.72,196,16508,1.19,494,5,1.01,22,4.45,4,Cancer Gene Census
ENSG00000108821,COL1A1,collagen type I alpha 1 chain,17q21.33,protein_coding,4,555,0.72,384,16508,2.33,494,9,1.82,12,2.43,4,Cancer Gene Census
ENSG00000113916,BCL6,BCL6 transcription repressor,3q27.3,protein_coding,4,555,0.72,220,16508,1.33,494,34,6.88,21,4.25,4,Cancer Gene Census
ENSG00000116132,PRRX1,paired related homeobox 1,1q24.2,protein_coding,4,555,0.72,163,16508,0.99,494,14,2.83,14,2.83,4,Cancer Gene Census
ENSG00000118007,STAG1,stromal antigen 1,3q22.3,protein_coding,4,555,0.72,297,16508,1.8,494,45,9.11,8,1.62,4,Cancer Gene Census
ENSG00000119772,DNMT3A,DNA methyltransferase 3 alpha,2p23.3,protein_coding,4,555,0.72,338,16508,2.05,494,13,2.63,13,2.63,4,Cancer Gene Census
ENSG00000122025,FLT3,fms related receptor tyrosine kinase 3,13q12.2,protein_coding,4,555,0.72,440,16508,2.67,494,10,2.02,38,7.69,4,Cancer Gene Census
ENSG00000126883,NUP214,nucleoporin 214,9q34.13,protein_coding,4,555,0.72,360,16508,2.18,494,36,7.29,10,2.02,5,Cancer Gene Census
ENSG00000127329,PTPRB,protein tyrosine phosphatase receptor type B,12q15,protein_coding,4,555,0.72,633,16508,3.83,494,27,5.47,7,1.42,6,Cancer Gene Census
ENSG00000133895,MEN1,menin 1,11q13.1,protein_coding,4,555,0.72,163,16508,0.99,494,22,4.45,6,1.21,5,Cancer Gene Census
ENSG00000134250,NOTCH2,notch receptor 2,1p12,protein_coding,4,555,0.72,431,16508,2.61,494,12,2.43,17,3.44,5,Cancer Gene Census
ENSG00000135111,TBX3,T-box transcription factor 3,12q24.21,protein_coding,4,555,0.72,282,16508,1.71,494,26,5.26,26,5.26,4,Cancer Gene Census
ENSG00000135333,EPHA7,EPH receptor A7,6q16.1,protein_coding,4,555,0.72,422,16508,2.56,494,5,1.01,161,32.59,4,Cancer Gene Census
ENSG00000137497,NUMA1,nuclear mitotic apparatus protein 1,11q13.4,protein_coding,4,555,0.72,358,16508,2.17,494,28,5.67,4,0.81,5,Cancer Gene Census
ENSG00000138376,BARD1,BRCA1 associated RING domain 1,2q35,protein_coding,4,555,0.72,194,16508,1.18,494,6,1.21,13,2.63,4,Cancer Gene Census
ENSG00000139263,LRIG3,leucine rich repeats and immunoglobulin like domains 3,12q14.1,protein_coding,4,555,0.72,246,16508,1.49,494,14,2.83,11,2.23,4,Cancer Gene Census
ENSG00000139687,RB1,RB transcriptional corepressor 1,13q14.2,protein_coding,4,555,0.72,573,16508,3.47,494,1,0.2,199,40.28,4,Cancer Gene Census
ENSG00000140521,POLG,"DNA polymerase gamma, catalytic subunit",15q26.1,protein_coding,4,555,0.72,226,16508,1.37,494,8,1.62,16,3.24,4,Cancer Gene Census
ENSG00000140937,CDH11,cadherin 11,16q21,protein_coding,4,555,0.72,493,16508,2.99,494,5,1.01,114,23.08,4,Cancer Gene Census
ENSG00000143924,EML4,EMAP like 4,2p21,protein_coding,4,555,0.72,196,16508,1.19,494,8,1.62,36,7.29,4,Cancer Gene Census
ENSG00000148516,ZEB1,zinc finger E-box binding homeobox 1,10p11.22,protein_coding,4,555,0.72,390,16508,2.36,494,7,1.42,40,8.1,5,Cancer Gene Census
ENSG00000151702,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",11q24.3,protein_coding,4,555,0.72,201,16508,1.22,494,21,4.25,26,5.26,4,Cancer Gene Census
ENSG00000152894,PTPRK,protein tyrosine phosphatase receptor type K,6q22.33,protein_coding,4,555,0.72,420,16508,2.54,494,4,0.81,41,8.3,5,Cancer Gene Census
ENSG00000153201,RANBP2,RAN binding protein 2,2q13,protein_coding,4,555,0.72,533,16508,3.23,494,4,0.81,22,4.45,5,Cancer Gene Census
ENSG00000156076,WIF1,WNT inhibitory factor 1,12q14.3,protein_coding,4,555,0.72,127,16508,0.77,494,23,4.66,12,2.43,4,Cancer Gene Census
ENSG00000160789,LMNA,lamin A/C,1q22,protein_coding,4,555,0.72,156,16508,0.94,494,25,5.06,16,3.24,5,Cancer Gene Census
ENSG00000160957,RECQL4,RecQ like helicase 4,8q24.3,protein_coding,4,555,0.72,202,16508,1.22,494,77,15.59,11,2.23,4,Cancer Gene Census
ENSG00000163520,FBLN2,fibulin 2,3p25.1,protein_coding,4,555,0.72,285,16508,1.73,494,15,3.04,14,2.83,5,Cancer Gene Census
ENSG00000167751,KLK2,kallikrein related peptidase 2,19q13.33,protein_coding,4,555,0.72,97,16508,0.59,494,10,2.02,12,2.43,4,Cancer Gene Census
ENSG00000169862,CTNND2,catenin delta 2,5p15.2,protein_coding,4,555,0.72,677,16508,4.1,494,22,4.45,11,2.23,5,Cancer Gene Census
ENSG00000173575,CHD2,chromodomain helicase DNA binding protein 2,15q26.1,protein_coding,4,555,0.72,355,16508,2.15,494,8,1.62,24,4.86,5,Cancer Gene Census
ENSG00000174775,HRAS,"HRas proto-oncogene, GTPase",11p15.5,protein_coding,4,555,0.72,163,16508,0.99,494,13,2.63,21,4.25,2,Cancer Gene Census
ENSG00000179583,CIITA,class II major histocompatibility complex transactivator,16p13.13,protein_coding,4,555,0.72,321,16508,1.94,494,22,4.45,9,1.82,5,Cancer Gene Census
ENSG00000180644,PRF1,perforin 1,10q22.1,protein_coding,4,555,0.72,172,16508,1.04,494,12,2.43,43,8.7,4,Cancer Gene Census
ENSG00000182872,RBM10,RNA binding motif protein 10,Xp11.3,protein_coding,4,555,0.72,316,16508,1.91,494,0,0.0,0,0.0,4,Cancer Gene Census
ENSG00000196588,MRTFA,myocardin related transcription factor A,"22q13.1, 22q13.2",protein_coding,4,555,0.72,205,16508,1.24,494,0,0.0,36,7.29,5,Cancer Gene Census
ENSG00000198286,CARD11,caspase recruitment domain family member 11,7p22.2,protein_coding,4,555,0.72,485,16508,2.94,494,53,10.73,9,1.82,7,Cancer Gene Census
ENSG00000198400,NTRK1,neurotrophic receptor tyrosine kinase 1,1q23.1,protein_coding,4,555,0.72,261,16508,1.58,494,23,4.66,18,3.64,6,Cancer Gene Census
ENSG00000198822,GRM3,glutamate metabotropic receptor 3,"7q21.11, 7q21.12",protein_coding,4,555,0.72,532,16508,3.22,494,62,12.55,2,0.4,4,Cancer Gene Census
ENSG00000006468,ETV1,ETS variant transcription factor 1,7p21.2,protein_coding,3,555,0.54,230,16508,1.39,494,58,11.74,9,1.82,3,Cancer Gene Census
ENSG00000047936,ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase",6q22.1,protein_coding,3,555,0.54,611,16508,3.7,494,3,0.61,115,23.28,3,Cancer Gene Census
ENSG00000064012,CASP8,caspase 8,2q33.1,protein_coding,3,555,0.54,320,16508,1.94,494,5,1.01,14,2.83,3,Cancer Gene Census
ENSG00000066468,FGFR2,fibroblast growth factor receptor 2,10q26.13,protein_coding,3,555,0.54,376,16508,2.28,494,5,1.01,46,9.31,3,Cancer Gene Census
ENSG00000068078,FGFR3,fibroblast growth factor receptor 3,4p16.3,protein_coding,3,555,0.54,271,16508,1.64,494,15,3.04,33,6.68,3,Cancer Gene Census
ENSG00000071564,TCF3,transcription factor 3,19p13.3,protein_coding,3,555,0.54,139,16508,0.84,494,3,0.61,35,7.09,4,Cancer Gene Census
ENSG00000072062,PRKACA,protein kinase cAMP-activated catalytic subunit alpha,19p13.12,protein_coding,3,555,0.54,112,16508,0.68,494,8,1.62,20,4.05,3,Cancer Gene Census
