Node_Name,Incoming_Edges,Outgoing_Edges,Total_Edges
PCNA,20,12,32
CDC25C,28,4,32
SOCS1,18,14,32
MAP3K14,17,15,32
ITGA3,29,3,32
ROCK2,7,25,32
CTNND1,23,9,32
ILK,12,20,32
ITCH,13,19,32
MMP13,24,8,32
CSNK2B,6,26,32
IGFBP3,19,13,32
MYLK,25,6,31
PPM1A,2,29,31
C3,14,17,31
PRKCI,7,24,31
HDAC4,21,10,31
FZD3,21,10,31
BCL6,18,13,31
PTPN2,7,24,31
IFNB1,9,22,31
RXRB,17,14,31
GNAL,29,2,31
FLI1,13,18,31
ATF1,22,9,31
TNFRSF1A,17,14,31
KAT5,14,17,31
BMPR2,25,5,30
FGR,11,19,30
SKP2,13,17,30
WNT3A,7,23,30
MEF2D,25,5,30
EZH2,16,14,30
ATF4,12,18,30
PTH1R,19,11,30
CDK7,8,22,30
COL1A1,16,14,30
FGF1,6,24,30
VWF,6,24,30
CIITA,13,17,30
IRAK1,15,15,30
SOX9,13,17,30
IFNAR2,27,3,30
H2AX,25,5,30
EDN1,10,20,30
NR0B2,7,23,30
BHLHE40,14,16,30
CAMK1,8,22,30
PGR,25,5,30
LAT,20,10,30
FLT1,19,11,30
CRKL,18,12,30
BIRC5,22,8,30
PTPRJ,6,23,29
DLG4,24,5,29
MCL1,23,6,29
NOTCH2,21,8,29
SYN1,26,3,29
PLD1,20,9,29
PLAUR,24,5,29
VAV2,21,8,29
GLI2,21,8,29
H3C4,29,0,29
DNMT1,19,10,29
NF1,8,21,29
NFATC2,21,8,29
CCNB1,23,6,29
YES1,12,17,29
EIF4EBP1,26,3,29
APEX1,12,17,29
APC,20,9,29
GNA12,25,4,29
ITGAM,27,2,29
PPP3CB,2,27,29
PIK3CG,21,8,29
XIAP,20,9,29
MUC1,18,11,29
FOXL2,7,22,29
GATA3,17,12,29
FBXW7,11,18,29
MYCN,14,14,28
CST6,1,27,28
PPP3CC,3,25,28
DDIT3,15,13,28
ITGA4,22,6,28
TGFA,13,15,28
SREBF2,17,11,28
CDC25B,24,4,28
S1PR1,7,21,28
PRKG2,0,28,28
GATA6,9,19,28
ARRB1,8,20,28
MYOG,23,5,28
ACVR2B,20,8,28
CDK9,14,14,28
MAP4K1,19,9,28
NFATC1,23,5,28
GAB1,16,12,28
RBPJ,19,9,28
COL1A2,14,14,28
SOS1,17,11,28
KRT8,26,2,28
VTN,12,16,28
TCF3,21,7,28
NRP1,20,8,28
ZBTB16,10,17,27
NOTCH4,17,10,27
WWTR1,11,16,27
EZR,20,7,27
CXCL1,11,16,27
ITGA1,25,2,27
PRKN,10,17,27
POMC,9,18,27
HNRNPK,11,16,27
CCR5,22,5,27
SALL4,1,26,27
MARK2,14,13,27
BIRC2,13,14,27
BMP4,15,12,27
ADRB3,23,4,27
BDNF,10,17,27
RIPK2,13,14,27
GATA2,18,9,27
MAPK8IP1,12,15,27
PML,16,11,27
IRF1,12,15,27
EEF2K,25,2,27
BAK1,18,9,27
CFL1,21,6,27
CXCL10,12,15,27
CBLB,9,18,27
PAK4,8,19,27
CCN2,12,15,27
MAP3K11,17,9,26
AXL,12,14,26
NEDD9,16,10,26
CD28,10,16,26
DPP4,26,0,26
PLCB1,22,4,26
STMN1,26,0,26
H3-4,25,1,26
SNCA,22,4,26
NR2F2,12,14,26
ITGB5,21,5,26
CCR2,20,6,26
NTRK2,13,13,26
CCND3,20,6,26
PPM1D,7,19,26
PTPRC,9,17,26
MIF,9,17,26
SDC2,25,1,26
ADAM10,6,20,26
CYCS,24,2,26
MAPK13,7,19,26
ACVR1,19,7,26
BTRC,7,19,26
CRP,13,13,26
TERT,22,4,26
OSM,3,23,26
PDGFRA,13,13,26
NKX2-5,6,20,26
MMP1,16,10,26
SMURF1,5,20,25
EPHA4,13,12,25
RPS6KB2,15,10,25
ARNTL,17,8,25
EPOR,20,5,25
SHH,10,15,25
EPAS1,11,14,25
NPPA,10,15,25
GRK5,5,20,25
CD36,25,0,25
PIN1,11,14,25
BIRC3,13,12,25
CSF1R,12,13,25
NCOA3,18,7,25
CFTR,24,1,25
CLIP1,23,2,25
PPP2R5C,7,18,25
MAP3K8,9,16,25
ARNT,14,11,25
IL1R1,12,13,25
GH1,5,20,25
PTPRF,10,15,25
HBP1,5,20,25
DAPK3,6,19,25
PTK6,8,17,25
VCAN,9,16,25
PIAS1,8,17,25
HDAC5,20,4,24
ANXA1,16,8,24
SELE,19,5,24
POLD1,17,7,24
THRB,17,7,24
LPL,18,6,24
NOTCH3,18,6,24
WEE1,19,5,24
CCNE1,22,2,24
NPM1,18,6,24
GLI3,18,6,24
CASP6,13,11,24
ALK,7,17,24
PDGFB,5,19,24
CCL11,17,7,24
DAB2IP,6,18,24
ARRB2,7,17,24
CTSL,18,6,24
CASP2,16,8,24
GDNF,3,21,24
HBB,19,5,24
NCAM1,16,8,24
KMT2A,7,17,24
ESR2,10,14,24
GADD45A,16,8,24
ENO1,7,17,24
JAG1,18,6,24
HMGB1,3,21,24
MAVS,12,12,24
IL17A,6,18,24
NCF1,21,3,24
GNA13,18,6,24
ETS2,15,9,24
BMP7,6,18,24
RPTOR,23,1,24
IRS2,21,3,24
ID1,9,15,24
MITF,17,7,24
ADRB1,14,9,23
ZBTB17,6,17,23
FZD5,15,8,23
YWHAQ,13,10,23
SMAD5,15,8,23
MMP14,11,12,23
CDH5,21,2,23
DAXX,14,9,23
RASSF1,12,11,23
HNRNPA1,12,11,23
MAP2K3,18,5,23
TEK,12,11,23
CCR3,21,2,23
ITK,8,15,23
MYD88,15,8,23
GJA1,22,1,23
CSNK1G1,2,21,23
GAB2,18,5,23
CCL3,15,8,23
LEP,6,17,23
TLR3,8,15,23
PKM,17,6,23
PKN1,5,18,23
LDLR,20,3,23
TH,22,0,22
KDM6A,3,19,22
LIPE,21,1,22
RIN1,14,8,22
DDX58,15,7,22
ACP1,3,19,22
RBL2,16,6,22
NOD2,6,16,22
STUB1,5,17,22
HNF1B,3,19,22
HSPA1B,10,12,22
PIK3R2,21,1,22
LEPR,7,15,22
PLAG1,3,19,22
ELANE,9,13,22
PPP1R14A,19,3,22
RUNX3,5,17,22
ALOX5,18,4,22
ACVR2A,19,3,22
PTPN7,17,5,22
PTPRA,11,11,22
DVL3,15,7,22
DAB2,9,13,22
TAL1,14,8,22
WT1,12,10,22
KLK3,18,4,22
GRB10,16,6,22
BDKRB2,13,9,22
BCR,13,9,22
SOSTDC1,1,21,22
FZD8,17,5,22
SOD1,14,8,22
FGA,9,13,22
VASP,17,5,22
PSEN2,21,1,22
USF1,9,13,22
GRIN2B,22,0,22
SMAD6,6,16,22
PAX6,11,10,21
FZD1,14,7,21
S100A6,12,9,21
UBE3A,4,17,21
EIF4E,17,4,21
LIMK1,14,7,21
COPS5,5,16,21
CARM1,4,17,21
MAPKAPK5,11,10,21
EIF2S1,19,2,21
DOK1,11,10,21
HMGA1,15,6,21
MDM4,16,5,21
ROS1,11,10,21
RORA,6,15,21
APOB,10,11,21
KLF4,12,9,21
FUS,7,14,21
TJP1,9,12,21
TTK,8,13,21
HBEGF,9,12,21
BBC3,14,7,21
DIABLO,15,6,21
CD47,15,6,21
ACTB,15,6,21
TRAF3,17,4,21
LATS2,13,8,21
VIPR1,21,0,21
CXCR3,20,1,21
NOS1,16,5,21
PRKCH,2,19,21
FLT4,13,7,20
RHO,16,4,20
GTF2I,13,7,20
CCR1,18,2,20
IL12A,9,11,20
BCL3,14,6,20
CALCA,5,15,20
CAMKK2,10,10,20
SFTPA1,2,18,20
NFKB2,19,1,20
NCOR1,10,10,20
GYS1,20,0,20
TNNI3,20,0,20
MAP3K4,9,11,20
APOE,10,10,20
TIMP3,9,11,20
ACVR1B,14,6,20
CFLAR,14,6,20
ITGA2B,17,3,20
NR4A2,14,6,20
STAT2,16,4,20
LGALS3,13,7,20
PPARD,9,11,20
EFNB2,7,13,20
TIAM1,14,6,20
HDAC2,10,10,20
PRL,6,14,20
MAP2,20,0,20
HDAC7,14,6,20
TWIST2,1,19,20
PPP3R1,3,17,20
CALR,8,12,20
SQSTM1,14,6,20
MBP,20,0,20
ETV1,15,4,19
SMARCA4,6,13,19
MARCKS,14,5,19
CCND2,15,4,19
CCNA2,16,3,19
SLC9A1,15,4,19
MAP1B,18,1,19
CD14,8,11,19
SP3,7,12,19
TXN,9,10,19
YBX1,8,11,19
NUMA1,6,13,19
PBX1,8,11,19
CD274,16,3,19
EPHA3,10,9,19
RPS6KA4,11,8,19
HTR1A,11,8,19
MAP3K2,2,17,19
RAP1A,14,5,19
BRCA2,15,4,19
TOPBP1,12,7,19
RBL1,15,4,19
DLK1,13,6,19
DRD2,10,9,19
CRH,5,14,19
MYL9,17,2,19
RAMP2,19,0,19
CTBP1,10,9,19
ADCYAP1R1,19,0,19
CDX2,10,9,19
TCF4,13,6,19
MAX,12,7,19
NCOA2,8,11,19
RARB,12,7,19
HSP90AB1,12,7,19
TGFB2,2,17,19
NR5A1,15,4,19
NFATC3,16,3,19
DUSP3,3,16,19
BLM,16,3,19
INHBA,3,16,19
GRIN2A,17,2,19
APOA1,11,8,19
RPA2,15,4,19
CXCR2,17,1,18
LATS1,12,6,18
PLEC,18,0,18
VAV3,12,6,18
FZD2,11,7,18
SCN5A,18,0,18
PAWR,9,9,18
XBP1,14,4,18
UBE2N,5,13,18
RAMP3,18,0,18
PIM2,3,15,18
CAPN2,7,11,18
MMP3,9,9,18
NCL,12,6,18
PAK5,8,10,18
RXRG,9,9,18
FANCD2,13,5,18
ARHGAP32,11,7,18
PTTG1,13,5,18
SMURF2,5,13,18
CXCL11,5,13,18
ADM,5,13,18
ADORA2A,3,15,18
PDX1,14,4,18
DNMT3A,7,11,18
MSN,17,1,18
PLA2G4A,17,1,18
EPHB1,5,13,18
OCLN,14,4,18
CSF3,9,9,18
LCP2,16,2,18
MAPK6,13,5,18
GHR,10,8,18
NGFR,14,4,18
BMX,10,8,18
DNM1,15,3,18
CSF1,7,11,18
EIF2AK3,9,9,18
KLF9,7,11,18
IGF2,10,8,18
IL4R,7,11,18
MAP1LC3B,16,2,18
NLK,4,14,18
HOXA10,11,7,18
CD81,12,6,18
GFAP,17,1,18
NFIB,4,14,18
PTHLH,7,11,18
CRTC2,9,9,18
ARHGEF7,10,8,18
PER2,14,4,18
HMOX1,11,6,17
TNK2,8,9,17
TNFSF13B,4,13,17
IL6R,9,8,17
KDM1A,8,9,17
ARHGAP35,14,3,17
NEDD4L,9,8,17
FZD4,12,5,17
SGK3,2,15,17
IL16,7,10,17
DDR2,15,2,17
LIFR,11,6,17
MAML1,3,14,17
VIP,1,16,17
PAX8,9,8,17
TLX1,2,15,17
AREG,6,11,17
TSC1,13,4,17
PPP1R1A,16,1,17
TNFRSF11B,15,2,17
TNC,4,13,17
MRE11,14,3,17
NR1H2,11,6,17
PITX2,5,12,17
NR4A3,10,7,17
IRAK4,8,9,17
GRK6,2,15,17
CGA,7,10,17
TEC,7,10,17
GNA15,15,2,17
ACVRL1,10,7,17
PAK3,5,12,17
PEA15,11,6,17
PLD2,14,3,17
DCN,5,12,17
DCC,11,6,17
RYR1,15,2,17
RASA1,13,4,17
PER1,14,3,17
FOXA1,7,10,17
CTCF,6,11,17
RAD51,15,2,17
MYF5,16,1,17
SLC2A4,17,0,17
CREM,14,3,17
CTSB,9,8,17
TFRC,17,0,17
SPTBN1,17,0,17
TOP2A,16,0,16
POLR2A,16,0,16
CALD1,16,0,16
TCF7L2,16,0,16
SOCS2,5,11,16
FOSL1,16,0,16
DNM1L,16,0,16
FGF8,9,7,16
CXCL9,2,14,16
PRLR,12,4,16
TBX21,7,9,16
PEBP1,7,9,16
ID2,10,6,16
ERBIN,10,6,16
PRMT1,0,16,16
CEBPD,9,7,16
F3,14,2,16
F12,10,6,16
FASLG,11,5,16
NCK1,12,4,16
CARD11,11,5,16
MAP4K4,8,8,16
CCL7,10,6,16
ARHGEF6,9,7,16
ATF6,8,8,16
ATF3,10,6,16
PKD1,8,8,16
LPAR2,0,16,16
GNA11,9,7,16
HTRA2,11,5,16
NR2F1,9,7,16
RCAN1,15,1,16
PPM1B,3,13,16
TRADD,9,7,16
MDK,2,14,16
BMI1,11,5,16
ACTN1,11,5,16
GIT1,8,8,16
PMAIP1,11,5,16
IL2RA,14,2,16
WNT4,5,11,16
YWHAZ,14,2,16
YWHAH,5,11,16
JUND,12,4,16
FRS2,11,5,16
FZD7,12,4,16
EIF4B,15,1,16
RHEB,8,8,16
PPP4C,2,14,16
RAC2,8,8,16
LMNA,14,2,16
MEN1,2,14,16
SOX2,10,6,16
SIRPA,12,4,16
E2F4,6,10,16
CX3CL1,8,8,16
CDC20,11,5,16
CUX1,6,10,16
CTSD,12,4,16
KITLG,3,13,16
CDH2,13,3,16
ASCL1,13,3,16
CSNK1A1L,2,14,16
CD19,11,5,16
PIK3CB,13,2,15
MTA1,5,10,15
SOX10,1,14,15
PLCB3,14,1,15
PLCG2,14,1,15
DLG1,9,6,15
RBBP8,10,5,15
PRKAR2A,12,3,15
ROR2,9,6,15
SIX1,1,14,15
PPP5C,3,12,15
C5AR1,9,6,15
PTPN13,1,14,15
NEDD4,8,7,15
KEAP1,9,6,15
MC4R,7,8,15
PAX3,7,8,15
RPS6,15,0,15
HSPA5,12,3,15
PBK,6,9,15
KNG1,0,15,15
NME1,6,9,15
ITGB8,11,4,15
ADORA2B,2,13,15
GRM5,14,1,15
ESRRA,8,7,15
EPO,3,12,15
BTG2,7,8,15
ANXA2,9,6,15
GATA4,12,3,15
DES,15,0,15
COL4A3,4,11,15
ABCA1,14,1,15
CSNK1G2,0,15,15
NRIP1,7,8,15
FHIT,2,13,15
VHL,4,11,15
FHL2,4,11,15
MKNK1,10,5,15
IL3,2,13,15
TLN1,5,10,15
NEUROD1,13,2,15
ACACA,15,0,15
ZEB1,12,3,15
FZR1,7,8,15
IQGAP1,10,5,15
TRPC3,14,1,15
TRPC1,11,4,15
TIMP2,11,4,15
TSC22D3,5,10,15
TGFB1I1,5,10,15
PECAM1,15,0,15
ARF1,6,9,15
PKNOX1,3,12,15
NFATC4,14,1,15
RNF7,5,10,15
NPY,4,11,15
HTT,10,5,15
RACK1,4,11,15
MAPK8IP3,6,9,15
MECOM,6,9,15
EFNA1,2,13,15
DCX,15,0,15
PPP1R12A,15,0,15
CD80,11,4,15
FBXW11,0,15,15
PDGFA,5,10,15
OGT,7,8,15
FBN1,6,9,15
APAF1,14,1,15
CDKN2B,14,1,15
TIMP1,14,1,15
GRB7,11,4,15
GCG,3,12,15
TICAM1,10,5,15
CTNND2,10,5,15
PRKD2,8,7,15
FASN,6,9,15
THBS2,2,13,15
NR1I2,8,7,15
ULK2,5,10,15
MYBL2,11,3,14
SELL,9,5,14
CREB5,1,13,14
UBTF,14,0,14
SIK1,3,11,14
KLF1,10,4,14
IL15,3,11,14
LIF,8,6,14
HDAC6,9,5,14
AIFM1,12,2,14
DNM2,10,4,14
SDC3,13,1,14
PTGER2,2,12,14
PTCH1,8,6,14
CDC14A,3,11,14
COL2A1,6,8,14
IL12B,6,8,14
RTN4,8,6,14
NFIL3,9,5,14
STAT4,12,2,14
LAMA1,0,14,14
ACLY,14,0,14
ARAF,7,7,14
ITGAL,9,5,14
ITGA7,11,3,14
PIAS4,2,12,14
HLA-DRA,5,9,14
CDC42BPA,3,11,14
HHEX,2,12,14
HIC1,4,10,14
STAR,13,1,14
RELB,10,4,14
CD4,10,4,14
ANGPT1,5,9,14
SPOP,1,13,14
S100A4,6,8,14
KDM5B,6,8,14
S100A9,6,8,14
RIPK3,6,8,14
PAX5,7,7,14
GAD1,13,1,14
GPC1,10,4,14
POU2F2,2,12,14
TRAF1,13,1,14
NTF4,0,14,14
ITGB6,10,4,14
ITGB7,11,3,14
ITPR1,13,1,14
TDG,6,8,14
TGFB3,3,11,14
FUBP1,5,9,14
IRF9,6,8,14
IER3,12,2,14
ID3,9,5,14
RB1CC1,4,10,14
TFAP2A,9,5,14
CEACAM1,10,4,14
CACNA1C,14,0,14
KAT2A,3,11,14
RHOB,8,6,14
NFKBIB,10,4,14
PCK1,13,1,14
FGF7,2,12,14
CD79A,13,1,14
BHLHE41,4,10,14
BDKRB1,1,13,14
IL2RB,9,5,14
TOP1,11,3,14
FGG,3,11,14
FCGR2A,10,4,14
IL2RG,10,4,14
NDRG1,11,3,14
NUMB,8,6,14
FES,6,8,14
LASP1,12,2,14
ZFP36,12,2,14
WNT7A,2,12,14
ZMYND8,6,8,14
DAG1,5,9,14
GAP43,13,0,13
DAAM1,6,7,13
H3C13,12,1,13
SOX6,3,10,13
WRN,10,3,13
GPC3,1,12,13
GNRH1,6,7,13
SIK2,4,9,13
USP7,2,11,13
USF2,7,6,13
PLAT,10,3,13
DPYSL2,11,2,13
NKX3-1,9,4,13
TNFRSF10A,8,5,13
YWHAB,10,3,13
MDC1,7,6,13
CNTN1,7,6,13
CNR1,3,10,13
ITGA9,12,1,13
DLX5,8,5,13
LRIG1,4,9,13
EFNA5,3,10,13
U2AF1,0,13,13
ARHGEF12,9,4,13
DUSP6,6,7,13
MERTK,5,8,13
AFDN,7,6,13
AGER,9,4,13
NR1H3,8,5,13
F2RL3,3,10,13
CLSPN,10,3,13
GAPDH,10,3,13
KDM4C,4,9,13
EIF2S2,12,1,13
TFE3,1,12,13
PTPRB,2,11,13
NRP2,11,2,13
S100A8,2,11,13
HSPD1,6,7,13
CAT,9,4,13
NOXA1,11,2,13
EGR2,8,5,13
CTSV,13,0,13
VEGFD,3,10,13
ATOH1,11,2,13
B2M,4,9,13
ADORA1,5,8,13
AKT1S1,9,4,13
MELK,2,11,13
PTGER4,3,10,13
CCKBR,5,8,13
MST1R,8,5,13
TNFRSF1B,7,6,13
CDT1,11,2,13
G6PC,13,0,13
JUP,13,0,13
CDK8,1,12,13
BUB1,5,8,13
PIK3C3,7,6,13
PTPN5,4,9,13
FZD6,11,2,13
SGK2,3,10,13
DDX5,7,6,13
PTH,1,12,13
HNRNPU,4,9,13
CAD,12,1,13
NR2C2,7,6,13
SUFU,7,6,13
IL7,0,13,13
IFIH1,8,5,13
LAG3,13,0,13
RASGRP3,10,3,13
PF4,3,10,13
FGF14,6,7,13
MAD1L1,12,0,12
TAB1,8,4,12
PICK1,4,8,12
AHR,7,5,12
PTPRZ1,6,6,12
REL,7,5,12
SPARC,6,6,12
CXCL2,4,8,12
WASL,12,0,12
CFL2,11,1,12
ERN1,6,6,12
BRD4,7,5,12
HTR2C,4,8,12
PRPF4B,11,1,12
ACTA2,12,0,12
FST,5,7,12
TPH1,2,10,12
OPRK1,7,5,12
BAG1,6,6,12
HSF2,3,9,12
CDK16,8,4,12
HSP90B1,3,9,12
TNFAIP3,3,9,12
UBR5,7,5,12
ADCY5,11,1,12
VEGFC,4,8,12
FOXP3,8,4,12
HK2,12,0,12
HSPA8,7,5,12
BNIP3,8,4,12
